section,station,latitude,longitude,year,month,day,event_id,integrated_chlorophyll_0_100,integrated_nitrate_0_50,integrated_nitrate_50_150,integrated_phosphate_0_50,integrated_phosphate_50_150,integrated_silicate_0_50,integrated_silicate_50_150
CSL,CSL1,46.95,-60.21,1999,4,15,18HU99005_99003155,671.48,88.27,129.75,21.475,11.657500000000002,382.90500000000003,152.705
CSL,CSL2,47.02,-60.11,1999,4,15,18HU99005_99003161,494.4750000000001,139.32,1055.2,16.526,57.135000000000005,160.41500000000002,1318.0075
CSL,CSL3,47.09,-59.980000000000004,1999,4,16,18HU99005_99003170,487.885,68.7625,990.4000000000001,14.5035,53.39750000000001,74.9785,1153.2125
CSL,CSL4,47.27,-59.78,1999,4,16,18HU99005_99003173,525.655,91.1285,1044.75,14.1765,53.05500000000001,69.6735,1300.2125
CSL,CSL5,47.43,-59.550000000000004,1999,4,16,18HU99005_99003179,320.8,101.69800000000001,1096.205,17.746499999999997,51.545,52.97,1169.7675
CSL,CSL6,47.58,-59.34,1999,4,16,18HU99005_99003184,76.45,228.00850000000003,741.605,16.9475,41.1925,254.712,806.2575
CSL,CSL1,46.950829999999996,-60.217659999999995,1999,10,30,18HU99054_99054112,50.93350000000001,86.94200000000001,96.295,24.667499999999997,18.02,180.91,148.35
CSL,CSL2,47.00333,-60.089000000000006,1999,10,30,18HU99054_99054118,50.41300000000001,126.226,712.001923076923,29.554000000000002,88.23384615384616,252.25500000000002,762.5423076923078
CSL,CSL3,47.095,-59.9705,1999,10,30,18HU99054_99054122,61.18300000000001,134.4875,663.315,29.535000000000004,84.59,221.84499999999997,624.75
CSL,CSL4,47.268159999999995,-59.777159999999995,1999,10,30,18HU99054_99054125,68.236,94.443,926.6700000000001,26.33,99.35000000000001,147.865,911.7
CSL,CSL5,47.42333,-59.55533,1999,10,30,18HU99054_99054131,47.513000000000005,122.37250000000002,841.525,26.103,87.87,160.85,720.9
CSL,CSL6,47.575500000000005,-59.33983,1999,10,31,18HU99054_99054133,6.234499999999999,325.849,889.46,41.045,94.465,300.34999999999997,798.55
CSL,CSL1,46.95783,-60.21733,2000,4,18,18PZ00002_2000002143,743.27,47.5055,156.07000000000002,36.655,31.540000000000003,100.11699999999999,174.12
CSL,CSL2,47.0225,-60.116,2000,4,18,18PZ00002_2000002146,815.015,55.162000000000006,1006.2916666666666,37.076,135.67833333333334,98.974,1199.7316666666668
CSL,CSL3,47.10066,-59.9915,2000,4,18,18PZ00002_2000002149,604.97,85.13550000000001,1031.67,34.171,125.655,93.0985,1116.8300000000002
CSL,CSL4,47.2715,-59.783159999999995,2000,4,18,18PZ00002_2000002153,580.63,72.27850000000001,1028.4525,36.108,129.4925,90.6165,1116.9250000000002
CSL,CSL5,47.4335,-59.559000000000005,2000,4,19,18PZ00002_2000002157,486.26,84.312,1064.8025,40.421499999999995,134.9525,124.85000000000001,1198.9425
CSL,CSL6,47.58316,-59.341829999999995,2000,4,19,18PZ00002_2000002160,81.02000000000001,220.088,1164.645,50.03399999999999,141.74,269.51250000000005,1271.375
CSL,CSL1,46.96066,-60.21866,2000,10,13,18HU00050_2000050238,27.8,54.98400000000001,216.085,26.021,32.166000000000004,147.4325,184.90699999999998
CSL,CSL2,47.01933,-60.110659999999996,2000,10,13,18HU00050_2000050240,34.595000000000006,62.813,1101.9,23.1285,112.19000000000001,154.36100000000002,1098.9550000000002
