station_name,year,integrated_chlorophyll_0_100,integrated_nitrate_0_50,integrated_nitrate_50_150,integrated_phosphate_0_50,integrated_phosphate_50_150,integrated_silicate_0_50,integrated_silicate_50_150
HL2,1999,68.03584541543067,84.99263923282732,914.0105725680054,25.451916069979006,95.3141703776041,133.32310543583046,1027.9353024009997
HL2,2000,52.18247269861017,153.67378345463223,1052.2351332992773,30.76459122810446,106.7230996525673,188.3992949220006,1027.665254650735
HL2,2001,68.30403741062695,149.7098426639587,852.2081839935381,37.955990080003914,115.86794062472339,165.8927184841534,847.409961010792
HL2,2002,47.391079912659954,103.19296414691046,987.0082239946485,31.4940617245293,112.7335266369255,112.25474835871493,906.0111336949359
HL2,2003,96.47844220897646,150.75061684672062,1043.7584658677933,29.261717761572104,105.77806796736351,178.09008345967186,972.4782214362085
HL2,2004,66.82303519877433,126.26645206139992,857.7355586842551,27.562196393406392,99.64667495618555,159.148575583219,831.4975096317021
HL2,2005,52.582201105137116,122.8740640855185,724.1095425550853,28.875611454579335,95.2293097155251,153.04335719246544,753.3092268818968
HL2,2006,36.69269347871386,130.31969843666002,984.9174149637557,27.863757365610432,102.18828195100069,167.9576458506609,967.7420028677702
HL2,2007,99.64435681422401,133.49843455904983,841.8457927071015,29.419486126488568,99.8222626304234,176.73251004934096,898.8551837566501
HL2,2008,33.79200749299912,161.65218649680818,964.1008389727327,31.935824869393205,105.77555759072617,193.5500274519507,940.0892877704894
HL2,2009,74.82088500620002,124.00525535842192,950.3611279888132,25.937953274400456,97.34615151294307,159.27145546436068,920.5122025013504
HL2,2010,35.141592614323706,107.26790027414759,863.9076703161409,29.240589792513273,107.17063228727807,154.25497502056902,873.0236294010507
HL2,2011,35.52430835447165,115.05795963973002,854.316388666826,29.198640367648792,109.86881473657688,156.20946011222313,875.5097207301744
HL2,2012,60.746119145568855,67.55995013640684,1078.0795542224691,21.664298440674973,105.0718267839695,101.82662665979096,1029.3408966205495
HL2,2013,23.945267999275735,147.69944655930627,900.0784404912022,33.73944676210455,144.18125791551256,163.51350699874953,842.1370970397244
HL2,2014,78.75219210416,112.10062987052797,920.843279780301,24.751208450063256,94.7576466558415,130.63209344442137,846.8032751618089
HL2,2015,88.62538669512067,125.62403596776265,962.7865554710702,25.416319227000447,98.87804542342455,150.40392855330543,912.3221271563311
HL2,2016,33.35708755355618,94.4444788042867,903.7261872493065,25.8960347186634,94.56895777980093,116.7734122513804,917.729112230154
HL2,2017,53.25081440572574,115.28320239806709,801.4369596795556,25.07902277926349,89.08527411877988,143.35290636707782,787.0923598791184
HL2,2018,65.1349908498047,104.71259367271705,753.4680795583246,21.597590604269044,78.22119843600197,126.38499827387483,727.2634004136376
HL2,2019,56.722879727449,108.06754750555952,884.9480943827967,24.54175869243283,90.31298857416525,138.74098364801353,842.4829612160291
P5,1999,115.88035857440487,308.49542996951755,322.6537270049712,37.41037456070014,35.65703809089597,294.26771020778517,291.24262633007953
P5,2000,156.67865214910225,339.3922565075227,341.75775357416813,40.744224029662945,39.50218507108135,283.2300407353221,270.38131690946085
P5,2001,84.74709849538311,327.8069481898153,327.78252905583815,43.47236516769689,40.5942375956081,317.3542398487844,306.4201934113988
P5,2002,97.05448162066405,385.43653725603514,384.9759762785583,42.48297039611394,40.07434030053047,332.55592168516824,330.47080810416594
P5,2003,110.00684550676692,382.995860640465,385.0341806239328,NA,NA,349.40244224116924,328.798700544859
P5,2004,110.48374999999982,354.894708333334,345.1661666666668,41.069166666666604,38.969416666666675,338.7565833333335,314.9105416666665
P5,2005,79.43791574152098,345.59820364191313,343.5844728626043,39.97077854685161,37.70340597978039,328.13176910284255,325.631117491151
P5,2006,90.04845833333367,399.7291250000012,386.5872499999997,41.683583333333345,39.13833333333337,367.81620833333403,335.5817083333328
P5,2007,110.50125000000047,345.40091666666694,344.92687500000045,45.92041666666659,43.726875000000064,344.91279166666646,330.8550000000005
P5,2008,107.20604166666654,368.01820833333306,365.6034166666663,40.883083333333296,39.019458333333326,379.8309166666656,344.80604166666615
P5,2009,68.31528645833355,398.71191674427973,400.64354486754235,42.049543494930084,41.249665012077685,384.7204749591118,369.73813391850547
P5,2010,112.30812989730211,313.7335000000004,320.8623437500001,44.29274999999997,42.56037239583334,359.545458333333,337.9505963541666
P5,2011,77.70066666666673,366.1659999999997,340.2512083333333,44.435416666666576,41.19512500000003,370.22049999999933,335.39979166666654
P5,2012,114.26510416666657,368.9832916666676,375.4571249999999,41.72735416666666,39.019354166666666,340.5325208333338,323.5519583333331
P5,2013,NA,339.52937500000064,337.9182835144928,37.46954166666662,34.606203804347835,282.6575000000003,271.3724094202897
P5,2014,106.73681309895822,347.9395833333337,350.01519531250017,38.19504166666664,36.65036588541667,284.9566666666666,266.5173437499998
P5,2015,140.79539778570162,294.75274613629404,317.89235589635524,35.95620299172181,35.60773083756735,285.0302737109352,284.69382457431334
P5,2016,100.3460112885935,303.44324870717884,311.97829266738455,39.37676361432314,39.06908222718266,265.53455903815865,261.3323858486026
P5,2017,111.52014678161537,290.1386938466492,275.93105692208536,36.39445108431167,34.10579628726287,315.3224832773956,278.5001383847816
P5,2018,65.65813519074989,293.1338290583025,315.60493108415113,32.9549813554478,32.657452397904144,274.43881835888266,286.0392633259052
P5,2019,78.76726086618686,303.6477872217182,312.7331322720479,34.70595055492654,33.34915244241779,295.1694738606838,273.14769687571425
