section,year,integrated_chlorophyll_0_100,integrated_nitrate_0_50,integrated_nitrate_50_150,integrated_phosphate_0_50,integrated_phosphate_50_150,integrated_silicate_0_50,integrated_silicate_50_150
CSL,1999,238.43816666666555,133.9589583333335,765.5980769230764,23.217458333333294,61.70927884615363,188.31074999999987,822.2462339743579
CSL,2000,292.8572916666663,110.7710000000001,905.9909722222205,35.14175,107.69661111111088,140.60074999999998,894.7073888888873
CSL,2001,87.69459916666494,98.44858333333322,649.8018749999995,41.59068750000007,106.58020833333381,124.01458333333309,631.3081249999989
CSL,2004,199.34978881224708,87.08382042260837,700.0199093189398,24.6290830295695,79.913285412682,116.0379352596466,680.5981496966045
CSL,2005,110.83544223247132,109.76185460669335,707.1295642195976,27.594854280244352,87.07022785981074,133.67638151776742,638.0781983005002
CSL,2006,137.0865356382581,94.23525761180387,898.183484153887,25.170314500912284,90.15444829617356,117.72023849709319,843.0322051264139
CSL,2007,163.90220148473674,125.63390940628835,652.6212560108364,31.7778738298923,84.25541481106389,174.31785934045263,673.2082645018612
CSL,2008,104.57216666825198,129.97835121648023,715.4940874549619,28.05337385155428,84.0122732594899,173.59594436512936,720.6823522118507
CSL,2009,177.57826048365675,100.00919764366621,861.3003381271747,31.266031501089124,109.09573674865719,134.09397680815596,878.7676281035714
CSL,2010,25.818457636011434,62.464977752389984,598.2834384155278,27.57990410964528,83.69080930293623,85.38926160255907,535.1404168556192
CSL,2011,163.9591028795319,136.75294106417903,698.4952110942395,29.556707519286054,87.0619631829031,172.1723163211505,726.6956217818991
CSL,2012,158.01782403714526,121.46161161144144,894.8532053626438,29.557629308910307,99.53160548488708,118.39478604727402,831.3583431838737
CSL,2013,87.84845916666711,154.56364583333337,815.2934250251376,29.846329166666635,89.02597736739548,201.00777083333344,855.7192558446452
CSL,2014,284.0519211964565,117.75319736462188,818.1750978276015,28.55651306224904,87.09468400730816,150.21633758526932,801.2108557779886
CSL,2015,154.0274951543931,94.67172507644405,904.2673981300342,27.25023635356884,91.64979210008487,112.46798705587386,877.7835844819731
CSL,2016,98.55558418495136,80.61601088509909,588.6753090585028,25.12609785340105,75.4890084820893,87.05595103548806,571.0766779772763
CSL,2017,46.19971012533006,116.22692374658139,551.744889523321,26.269280873812303,76.01646227833925,148.45419992536046,534.4078784943845
CSL,2018,189.49726074422622,86.12326216838147,735.67958952236,22.829315994770372,78.83183935519375,94.567744980897,723.9154517473216
