area,year,doy,surface_chlorophyll
CS_remote_sensing,2003,1,NA
CS_remote_sensing,2003,9,NA
CS_remote_sensing,2003,17,NA
CS_remote_sensing,2003,25,0.546396525037524
CS_remote_sensing,2003,33,0.475753336122223
CS_remote_sensing,2003,41,NA
CS_remote_sensing,2003,49,NA
CS_remote_sensing,2003,57,NA
CS_remote_sensing,2003,65,NA
CS_remote_sensing,2003,73,NA
CS_remote_sensing,2003,81,NA
CS_remote_sensing,2003,89,NA
CS_remote_sensing,2003,97,0.82592679348789
CS_remote_sensing,2003,105,3.31203730392456
CS_remote_sensing,2003,113,8.32673977708571
CS_remote_sensing,2003,121,3.357570652866
CS_remote_sensing,2003,129,0.904463130051707
CS_remote_sensing,2003,137,0.596331858274391
CS_remote_sensing,2003,145,0.52135396091377
CS_remote_sensing,2003,153,0.678093053381376
CS_remote_sensing,2003,161,0.703882159463024
CS_remote_sensing,2003,169,0.408568283958401
CS_remote_sensing,2003,177,0.419003519660501
CS_remote_sensing,2003,185,0.545138837672764
CS_remote_sensing,2003,193,NA
CS_remote_sensing,2003,201,NA
CS_remote_sensing,2003,209,0.644943410005834
CS_remote_sensing,2003,217,0.911027457442642
CS_remote_sensing,2003,225,1.32259140248783
CS_remote_sensing,2003,233,1.76621081597275
CS_remote_sensing,2003,241,1.90525625913164
CS_remote_sensing,2003,249,0.958138661683182
CS_remote_sensing,2003,257,0.856656903666163
CS_remote_sensing,2003,265,0.999370969864621
CS_remote_sensing,2003,273,1.02409078647322
CS_remote_sensing,2003,281,1.03900147952936
CS_remote_sensing,2003,289,0.851075793898434
CS_remote_sensing,2003,297,0.816982192048339
CS_remote_sensing,2003,305,0.80644146291724494
CS_remote_sensing,2003,313,NA
CS_remote_sensing,2003,321,0.411529729170586
CS_remote_sensing,2003,329,1.06406736674659
CS_remote_sensing,2003,337,NA
CS_remote_sensing,2003,345,NA
CS_remote_sensing,2003,353,NA
CS_remote_sensing,2003,361,NA
CS_remote_sensing,2004,1,NA
CS_remote_sensing,2004,9,NA
CS_remote_sensing,2004,17,NA
CS_remote_sensing,2004,25,NA
CS_remote_sensing,2004,33,NA
CS_remote_sensing,2004,41,0.471874834707946
CS_remote_sensing,2004,49,NA
CS_remote_sensing,2004,57,0.618073628507843
CS_remote_sensing,2004,65,0.599761679038113
CS_remote_sensing,2004,73,NA
CS_remote_sensing,2004,81,0.435629264196349
CS_remote_sensing,2004,89,0.506667784937907
CS_remote_sensing,2004,97,1.0473916707011
CS_remote_sensing,2004,105,2.27231202133257
CS_remote_sensing,2004,113,4.98673654418616
CS_remote_sensing,2004,121,1.26727558466569
CS_remote_sensing,2004,129,1.22440191286165
CS_remote_sensing,2004,137,0.672487192191257
CS_remote_sensing,2004,145,0.65304691971473
CS_remote_sensing,2004,153,0.538478447875956
CS_remote_sensing,2004,161,0.543726951435177
CS_remote_sensing,2004,169,0.589341713576765
CS_remote_sensing,2004,177,0.629662646155576
CS_remote_sensing,2004,185,0.49339466528287
CS_remote_sensing,2004,193,0.486208188523363
CS_remote_sensing,2004,201,0.491351658737735
CS_remote_sensing,2004,209,0.693063437767412
CS_remote_sensing,2004,217,0.791276897863037
CS_remote_sensing,2004,225,1.34079850437357
CS_remote_sensing,2004,233,1.01038560835788
CS_remote_sensing,2004,241,1.24179464906661
CS_remote_sensing,2004,249,1.35363313151309
CS_remote_sensing,2004,257,0.92008940618015
CS_remote_sensing,2004,265,1.02090089842959
CS_remote_sensing,2004,273,1.58237983320123
CS_remote_sensing,2004,281,1.05948598148922
CS_remote_sensing,2004,289,0.777670858983634
CS_remote_sensing,2004,297,1.0506310059018
CS_remote_sensing,2004,305,0.832943871225181
