year,area,density_gradient_0_50,temperature_at_sea_floor,cold_intermediate_layer_volume,minimum_temperature_in_cold_intermediate_layer,north_atlantic_oscillation,sea_surface_temperature_from_satellite,month,river_flux
1969,Lurcher Shoal,NA,6.7,NA,NA,NA,NA,NA,NA
1970,Lurcher Shoal,NA,6.566,NA,NA,NA,NA,NA,NA
1971,Lurcher Shoal,NA,6.856,NA,NA,NA,NA,NA,NA
1972,Lurcher Shoal,NA,6.769,NA,NA,NA,NA,NA,NA
1973,Lurcher Shoal,NA,6.656,NA,NA,NA,NA,NA,NA
1974,Lurcher Shoal,NA,7.498,NA,NA,NA,NA,NA,NA
1975,Lurcher Shoal,NA,6.66,NA,NA,NA,NA,NA,NA
1976,Lurcher Shoal,NA,8.142,NA,NA,NA,NA,NA,NA
1977,Lurcher Shoal,NA,6.189,NA,NA,NA,NA,NA,NA
1978,Lurcher Shoal,NA,6.103,NA,NA,NA,NA,NA,NA
1979,Lurcher Shoal,NA,7.421,NA,NA,NA,NA,NA,NA
1980,Lurcher Shoal,NA,6.63,NA,NA,NA,NA,NA,NA
1981,Lurcher Shoal,NA,6.433,NA,NA,NA,NA,NA,NA
1982,Lurcher Shoal,NA,6.789,NA,NA,NA,NA,NA,NA
1983,Lurcher Shoal,NA,6.672,NA,NA,NA,NA,NA,NA
1984,Lurcher Shoal,NA,7.051,NA,NA,NA,NA,NA,NA
1985,Lurcher Shoal,NA,6.739,NA,NA,NA,NA,NA,NA
1986,Lurcher Shoal,NA,7.3,NA,NA,NA,NA,NA,NA
1987,Lurcher Shoal,NA,5.487,NA,NA,NA,NA,NA,NA
1988,Lurcher Shoal,NA,5.224,NA,NA,NA,NA,NA,NA
1989,Lurcher Shoal,NA,5.954,NA,NA,NA,NA,NA,NA
1990,Lurcher Shoal,NA,6.6370000000000005,NA,NA,NA,NA,NA,NA
1991,Lurcher Shoal,NA,5.417,NA,NA,NA,NA,NA,NA
1992,Lurcher Shoal,NA,5.266,NA,NA,NA,NA,NA,NA
1993,Lurcher Shoal,NA,5.984,NA,NA,NA,NA,NA,NA
1994,Lurcher Shoal,NA,6.321,NA,NA,NA,NA,NA,NA
1995,Lurcher Shoal,NA,6.176,NA,NA,NA,NA,NA,NA
1996,Lurcher Shoal,NA,5.667,NA,NA,NA,NA,NA,NA
1997,Lurcher Shoal,NA,6.493,NA,NA,NA,NA,NA,NA
1998,Lurcher Shoal,NA,5.346,NA,NA,NA,NA,NA,NA
1999,Lurcher Shoal,NA,7.319,NA,NA,NA,NA,NA,NA
2000,Lurcher Shoal,NA,7.841,NA,NA,NA,NA,NA,NA
2001,Lurcher Shoal,NA,5.793,NA,NA,NA,NA,NA,NA
2002,Lurcher Shoal,NA,7.38,NA,NA,NA,NA,NA,NA
2003,Lurcher Shoal,NA,6.898,NA,NA,NA,NA,NA,NA
2004,Lurcher Shoal,NA,5.5280000000000005,NA,NA,NA,NA,NA,NA
2005,Lurcher Shoal,NA,5.987,NA,NA,NA,NA,NA,NA
2006,Lurcher Shoal,NA,7.65,NA,NA,NA,NA,NA,NA
2007,Lurcher Shoal,NA,5.355,NA,NA,NA,NA,NA,NA
2008,Lurcher Shoal,NA,6.457,NA,NA,NA,NA,NA,NA
2009,Lurcher Shoal,NA,7.5280000000000005,NA,NA,NA,NA,NA,NA
2010,Lurcher Shoal,NA,6.4350000000000005,NA,NA,NA,NA,NA,NA
2011,Lurcher Shoal,NA,7.63,NA,NA,NA,NA,NA,NA
2012,Lurcher Shoal,NA,9.462,NA,NA,NA,NA,NA,NA
2013,Lurcher Shoal,NA,7.377,NA,NA,NA,NA,NA,NA
2014,Lurcher Shoal,NA,8.066,NA,NA,NA,NA,NA,NA
2015,Lurcher Shoal,NA,7.4510000000000005,NA,NA,NA,NA,NA,NA
2016,Lurcher Shoal,NA,7.296,NA,NA,NA,NA,NA,NA
2018,Lurcher Shoal,NA,8.612,NA,NA,NA,NA,NA,NA
2019,Lurcher Shoal,NA,6.6450000000000005,NA,NA,NA,NA,NA,NA
1950,Misaine Bank,NA,1.7553,NA,NA,NA,NA,NA,NA
1951,Misaine Bank,NA,2.5359,NA,NA,NA,NA,NA,NA
1952,Misaine Bank,NA,2.7611,NA,NA,NA,NA,NA,NA
1953,Misaine Bank,NA,2.1154,NA,NA,NA,NA,NA,NA
1954,Misaine Bank,NA,2.1021,NA,NA,NA,NA,NA,NA
1955,Misaine Bank,NA,1.9474,NA,NA,NA,NA,NA,NA
1956,Misaine Bank,NA,1.9161000000000001,NA,NA,NA,NA,NA,NA
1957,Misaine Bank,NA,1.109,NA,NA,NA,NA,NA,NA
1958,Misaine Bank,NA,2.12,NA,NA,NA,NA,NA,NA
1959,Misaine Bank,NA,0.7352,NA,NA,NA,NA,NA,NA
1960,Misaine Bank,NA,2.0899,NA,NA,NA,NA,NA,NA
1961,Misaine Bank,NA,0.7997,NA,NA,NA,NA,NA,NA
1962,Misaine Bank,NA,1.4636,NA,NA,NA,NA,NA,NA
1963,Misaine Bank,NA,1.9534,NA,NA,NA,NA,NA,NA
1964,Misaine Bank,NA,1.4924,NA,NA,NA,NA,NA,NA
1965,Misaine Bank,NA,1.2272,NA,NA,NA,NA,NA,NA
1966,Misaine Bank,NA,1.43,NA,NA,NA,NA,NA,NA
1967,Misaine Bank,NA,1.8195000000000001,NA,NA,NA,NA,NA,NA
1968,Misaine Bank,NA,1.8344,NA,NA,NA,NA,NA,NA
1969,Misaine Bank,NA,1.7233,NA,NA,NA,NA,NA,NA
1970,Misaine Bank,NA,2.1623,NA,NA,NA,NA,NA,NA
1971,Misaine Bank,NA,2.1875999999999998,NA,NA,NA,NA,NA,NA
1972,Misaine Bank,NA,1.6897,NA,NA,NA,NA,NA,NA
1973,Misaine Bank,NA,1.1339000000000001,NA,NA,NA,NA,NA,NA
1974,Misaine Bank,NA,1.3109,NA,NA,NA,NA,NA,NA
1975,Misaine Bank,NA,1.7013,NA,NA,NA,NA,NA,NA
1976,Misaine Bank,NA,1.6989,NA,NA,NA,NA,NA,NA
1977,Misaine Bank,NA,2.6363000000000003,NA,NA,NA,NA,NA,NA
1978,Misaine Bank,NA,2.1538,NA,NA,NA,NA,NA,NA
1979,Misaine Bank,NA,1.9180000000000001,NA,NA,NA,NA,NA,NA
1980,Misaine Bank,NA,1.953,NA,NA,NA,NA,NA,NA
1981,Misaine Bank,NA,2.4551,NA,NA,NA,NA,NA,NA
1982,Misaine Bank,NA,0.9407,NA,NA,NA,NA,NA,NA
1983,Misaine Bank,NA,1.574,NA,NA,NA,NA,NA,NA
1984,Misaine Bank,NA,3.072,NA,NA,NA,NA,NA,NA
1985,Misaine Bank,NA,1.2133,NA,NA,NA,NA,NA,NA
1986,Misaine Bank,NA,0.5272,NA,NA,NA,NA,NA,NA
1987,Misaine Bank,NA,0.936,NA,NA,NA,NA,NA,NA
1988,Misaine Bank,NA,1.9343,NA,NA,NA,NA,NA,NA
1989,Misaine Bank,NA,0.9186,NA,NA,NA,NA,NA,NA
1990,Misaine Bank,NA,0.4586000000000001,NA,NA,NA,NA,NA,NA
1991,Misaine Bank,NA,0.7353000000000001,NA,NA,NA,NA,NA,NA
1992,Misaine Bank,NA,0.9,NA,NA,NA,NA,NA,NA
1993,Misaine Bank,NA,1.3797,NA,NA,NA,NA,NA,NA
1994,Misaine Bank,NA,1.4498,NA,NA,NA,NA,NA,NA
1995,Misaine Bank,NA,1.189,NA,NA,NA,NA,NA,NA
1996,Misaine Bank,NA,1.3039,NA,NA,NA,NA,NA,NA
1997,Misaine Bank,NA,1.5204,NA,NA,NA,NA,NA,NA
1998,Misaine Bank,NA,1.6686,NA,NA,NA,NA,NA,NA
1999,Misaine Bank,NA,2.1498,NA,NA,NA,NA,NA,NA
2000,Misaine Bank,NA,2.5021,NA,NA,NA,NA,NA,NA
2001,Misaine Bank,NA,1.5150000000000001,NA,NA,NA,NA,NA,NA
2002,Misaine Bank,NA,1.6927,NA,NA,NA,NA,NA,NA
2003,Misaine Bank,NA,0.6261,NA,NA,NA,NA,NA,NA
2004,Misaine Bank,NA,0.9588,NA,NA,NA,NA,NA,NA
2005,Misaine Bank,NA,1.7339,NA,NA,NA,NA,NA,NA
2006,Misaine Bank,NA,2.2449,NA,NA,NA,NA,NA,NA
2007,Misaine Bank,NA,1.2126000000000001,NA,NA,NA,NA,NA,NA
2008,Misaine Bank,NA,1.5548,NA,NA,NA,NA,NA,NA
2009,Misaine Bank,NA,1.9258,NA,NA,NA,NA,NA,NA
2010,Misaine Bank,NA,1.954,NA,NA,NA,NA,NA,NA
2011,Misaine Bank,NA,2.2734,NA,NA,NA,NA,NA,NA
2012,Misaine Bank,NA,2.8033,NA,NA,NA,NA,NA,NA
2013,Misaine Bank,NA,1.9178,NA,NA,NA,NA,NA,NA
2014,Misaine Bank,NA,2.1184000000000003,NA,NA,NA,NA,NA,NA
2015,Misaine Bank,NA,2.5404999999999998,NA,NA,NA,NA,NA,NA
2016,Misaine Bank,NA,2.7416,NA,NA,NA,NA,NA,NA
2017,Misaine Bank,NA,1.9393,NA,NA,NA,NA,NA,NA
2018,Misaine Bank,NA,2.0625999999999998,NA,NA,NA,NA,NA,NA
2019,Misaine Bank,NA,1.3149,NA,NA,NA,NA,NA,NA
1970,scotian_shelf_grid,NA,NA,  NA, NA,NA,NA,NA,NA
1971,scotian_shelf_grid,NA,NA,  NA, NA,NA,NA,NA,NA
1972,scotian_shelf_grid,NA,NA,4860,2.5,NA,NA,NA,NA
1973,scotian_shelf_grid,NA,NA,5012,2.2,NA,NA,NA,NA
1974,scotian_shelf_grid,NA,NA,4856,2.2,NA,NA,NA,NA
1975,scotian_shelf_grid,NA,NA,4777,2.2,NA,NA,NA,NA
1976,scotian_shelf_grid,NA,NA,4664,2.1,NA,NA,NA,NA
1977,scotian_shelf_grid,NA,NA,4554,2.2,NA,NA,NA,NA
1978,scotian_shelf_grid,NA,NA,4352,2.3,NA,NA,NA,NA
1979,scotian_shelf_grid,NA,NA,4034,2.5,NA,NA,NA,NA
1980,scotian_shelf_grid,NA,NA,4379,2.4,NA,NA,NA,NA
1981,scotian_shelf_grid,NA,NA,4139,2.4,NA,NA,NA,NA
1982,scotian_shelf_grid,NA,NA,4053,2.4,NA,NA,NA,NA
1983,scotian_shelf_grid,NA,NA,4349,2.2,NA,NA,NA,NA
1984,scotian_shelf_grid,NA,NA,4326,2.0,NA,NA,NA,NA
1985,scotian_shelf_grid,NA,NA,4474,2.0,NA,NA,NA,NA
1986,scotian_shelf_grid,NA,NA,4567,2.1,NA,NA,NA,NA
1987,scotian_shelf_grid,NA,NA,5090,2.0,NA,NA,NA,NA
1988,scotian_shelf_grid,NA,NA,  NA, NA,NA,NA,NA,NA
1989,scotian_shelf_grid,NA,NA,  NA, NA,NA,NA,NA,NA
1990,scotian_shelf_grid,NA,NA,5841,1.7,NA,NA,NA,NA
1991,scotian_shelf_grid,NA,NA,6461,1.6,NA,NA,NA,NA
1992,scotian_shelf_grid,NA,NA,6240,1.3,NA,NA,NA,NA
1993,scotian_shelf_grid,NA,NA,6109,1.6,NA,NA,NA,NA
1994,scotian_shelf_grid,NA,NA,5778,1.8,NA,NA,NA,NA
1995,scotian_shelf_grid,NA,NA,5872,1.7,NA,NA,NA,NA
1996,scotian_shelf_grid,NA,NA,5968,2.1,NA,NA,NA,NA
1997,scotian_shelf_grid,NA,NA,6302,1.9,NA,NA,NA,NA
1998,scotian_shelf_grid,NA,NA,7215,1.8,NA,NA,NA,NA
1999,scotian_shelf_grid,NA,NA,4983,2.6,NA,NA,NA,NA
2000,scotian_shelf_grid,NA,NA,3461,2.5,NA,NA,NA,NA
2001,scotian_shelf_grid,NA,NA,6955,2.1,NA,NA,NA,NA
2002,scotian_shelf_grid,NA,NA,5213,2.3,NA,NA,NA,NA
2003,scotian_shelf_grid,NA,NA,6840,1.4,NA,NA,NA,NA
2004,scotian_shelf_grid,NA,NA,7973,1.8,NA,NA,NA,NA
2005,scotian_shelf_grid,NA,NA,4937,2.2,NA,NA,NA,NA
2006,scotian_shelf_grid,NA,NA,4006,2.6,NA,NA,NA,NA
2007,scotian_shelf_grid,NA,NA,6803,2.1,NA,NA,NA,NA
2008,scotian_shelf_grid,NA,NA,6581,2.2,NA,NA,NA,NA
2009,scotian_shelf_grid,NA,NA,4953,2.2,NA,NA,NA,NA
2010,scotian_shelf_grid,NA,NA,4836,2.5,NA,NA,NA,NA
2011,scotian_shelf_grid,NA,NA,4848,2.8,NA,NA,NA,NA
2012,scotian_shelf_grid,NA,NA,2887,2.9,NA,NA,NA,NA
2013,scotian_shelf_grid,NA,NA,5043,2.5,NA,NA,NA,NA
2014,scotian_shelf_grid,NA,NA,3300,2.4,NA,NA,NA,NA
2015,scotian_shelf_grid,NA,NA,4084,2.0,NA,NA,NA,NA
2016,scotian_shelf_grid,NA,NA,4252,2.6,NA,NA,NA,NA
2017,scotian_shelf_grid,NA,NA,4624,2.4,NA,NA,NA,NA
2018,scotian_shelf_grid,NA,NA,  NA, NA,NA,NA,NA,NA
2019,scotian_shelf_grid,NA,NA,5096,2.2,NA,NA,NA,NA
2020,scotian_shelf_grid,NA,NA,4927,2.4,NA,NA,NA,NA
1970,4Vn,NA,4.349,NA,NA,NA,NA,NA,NA
1971,4Vn,NA,4.057,NA,NA,NA,NA,NA,NA
1972,4Vn,NA,3.814,NA,NA,NA,NA,NA,NA
1973,4Vn,NA,3.469,NA,NA,NA,NA,NA,NA
1974,4Vn,NA,4.374,NA,NA,NA,NA,NA,NA
1975,4Vn,NA,3.641,NA,NA,NA,NA,NA,NA
1976,4Vn,NA,3.4,NA,NA,NA,NA,NA,NA
1977,4Vn,NA,4.522,NA,NA,NA,NA,NA,NA
1978,4Vn,NA,4.742,NA,NA,NA,NA,NA,NA
1979,4Vn,NA,4.716,NA,NA,NA,NA,NA,NA
1980,4Vn,NA,4.864,NA,NA,NA,NA,NA,NA
1981,4Vn,NA,4.644,NA,NA,NA,NA,NA,NA
1982,4Vn,NA,3.786,NA,NA,NA,NA,NA,NA
1983,4Vn,NA,3.544,NA,NA,NA,NA,NA,NA
1984,4Vn,NA,4.8629999999999995,NA,NA,NA,NA,NA,NA
1985,4Vn,NA,3.961,NA,NA,NA,NA,NA,NA
1986,4Vn,NA,4.445,NA,NA,NA,NA,NA,NA
1987,4Vn,NA,3.934,NA,NA,NA,NA,NA,NA
1988,4Vn,NA,4.351,NA,NA,NA,NA,NA,NA
1989,4Vn,NA,4.007,NA,NA,NA,NA,NA,NA
1990,4Vn,NA,3.617,NA,NA,NA,NA,NA,NA
1991,4Vn,NA,3.326,NA,NA,NA,NA,NA,NA
1992,4Vn,NA,3.644,NA,NA,NA,NA,NA,NA
1993,4Vn,NA,3.962,NA,NA,NA,NA,NA,NA
1994,4Vn,NA,3.813,NA,NA,NA,NA,NA,NA
1995,4Vn,NA,3.694,NA,NA,NA,NA,NA,NA
1996,4Vn,NA,3.128,NA,NA,NA,NA,NA,NA
1997,4Vn,NA,4.326,NA,NA,NA,NA,NA,NA
1998,4Vn,NA,3.548,NA,NA,NA,NA,NA,NA
1999,4Vn,NA,4.52,NA,NA,NA,NA,NA,NA
2000,4Vn,NA,4.131,NA,NA,NA,NA,NA,NA
2001,4Vn,NA,4.303,NA,NA,NA,NA,NA,NA
2002,4Vn,NA,4.106,NA,NA,NA,NA,NA,NA
2003,4Vn,NA,3.743,NA,NA,NA,NA,NA,NA
2004,4Vn,NA,3.566,NA,NA,NA,NA,NA,NA
2005,4Vn,NA,4.302,NA,NA,NA,NA,NA,NA
2006,4Vn,NA,4.67,NA,NA,NA,NA,NA,NA
2007,4Vn,NA,3.937,NA,NA,NA,NA,NA,NA
2008,4Vn,NA,4.034,NA,NA,NA,NA,NA,NA
2009,4Vn,NA,3.889,NA,NA,NA,NA,NA,NA
2010,4Vn,NA,4.205,NA,NA,NA,NA,NA,NA
2011,4Vn,NA,4.6690000000000005,NA,NA,NA,NA,NA,NA
2012,4Vn,NA,4.473,NA,NA,NA,NA,NA,NA
2013,4Vn,NA,4.202,NA,NA,NA,NA,NA,NA
2014,4Vn,NA,5.159,NA,NA,NA,NA,NA,NA
2015,4Vn,NA,4.915,NA,NA,NA,NA,NA,NA
2016,4Vn,NA,4.864,NA,NA,NA,NA,NA,NA
2017,4Vn,NA,4.67,NA,NA,NA,NA,NA,NA
2018,4Vn,NA,NA,NA,NA,NA,NA,NA,NA
2019,4Vn,NA,5.186,NA,NA,NA,NA,NA,NA
2020,4Vn,NA,4.9350000000000005,NA,NA,NA,NA,NA,NA
1970,4Vs,NA,3.8499999999999996,NA,NA,NA,NA,NA,NA
1971,4Vs,NA,3.4299999999999997,NA,NA,NA,NA,NA,NA
1972,4Vs,NA,3.63,NA,NA,NA,NA,NA,NA
1973,4Vs,NA,2.9899999999999998,NA,NA,NA,NA,NA,NA
1974,4Vs,NA,3.59,NA,NA,NA,NA,NA,NA
1975,4Vs,NA,4.63,NA,NA,NA,NA,NA,NA
1976,4Vs,NA,3.6799999999999997,NA,NA,NA,NA,NA,NA
1977,4Vs,NA,4.4,NA,NA,NA,NA,NA,NA
1978,4Vs,NA,3.96,NA,NA,NA,NA,NA,NA
1979,4Vs,NA,4.01,NA,NA,NA,NA,NA,NA
1980,4Vs,NA,4.21,NA,NA,NA,NA,NA,NA
1981,4Vs,NA,4.27,NA,NA,NA,NA,NA,NA
1982,4Vs,NA,2.5,NA,NA,NA,NA,NA,NA
1983,4Vs,NA,3.3699999999999997,NA,NA,NA,NA,NA,NA
1984,4Vs,NA,5.279999999999999,NA,NA,NA,NA,NA,NA
1985,4Vs,NA,3.2199999999999998,NA,NA,NA,NA,NA,NA
1986,4Vs,NA,3.6399999999999997,NA,NA,NA,NA,NA,NA
1987,4Vs,NA,2.3699999999999997,NA,NA,NA,NA,NA,NA
1988,4Vs,NA,4.06,NA,NA,NA,NA,NA,NA
1989,4Vs,NA,2.4899999999999998,NA,NA,NA,NA,NA,NA
1990,4Vs,NA,2.2699999999999996,NA,NA,NA,NA,NA,NA
1991,4Vs,NA,2.33,NA,NA,NA,NA,NA,NA
1992,4Vs,NA,3.1399999999999997,NA,NA,NA,NA,NA,NA
1993,4Vs,NA,3.1399999999999997,NA,NA,NA,NA,NA,NA
1994,4Vs,NA,2.67,NA,NA,NA,NA,NA,NA
1995,4Vs,NA,3.0599999999999996,NA,NA,NA,NA,NA,NA
1996,4Vs,NA,2.8299999999999996,NA,NA,NA,NA,NA,NA
1997,4Vs,NA,3.15,NA,NA,NA,NA,NA,NA
1998,4Vs,NA,3.3899999999999997,NA,NA,NA,NA,NA,NA
1999,4Vs,NA,3.79,NA,NA,NA,NA,NA,NA
2000,4Vs,NA,4.21,NA,NA,NA,NA,NA,NA
2001,4Vs,NA,3.15,NA,NA,NA,NA,NA,NA
2002,4Vs,NA,3.69,NA,NA,NA,NA,NA,NA
2003,4Vs,NA,2.3899999999999997,NA,NA,NA,NA,NA,NA
2004,4Vs,NA,2.5,NA,NA,NA,NA,NA,NA
2005,4Vs,NA,3.73,NA,NA,NA,NA,NA,NA
2006,4Vs,NA,4.04,NA,NA,NA,NA,NA,NA
2007,4Vs,NA,3,NA,NA,NA,NA,NA,NA
2008,4Vs,NA,3.3,NA,NA,NA,NA,NA,NA
2009,4Vs,NA,3.6999999999999997,NA,NA,NA,NA,NA,NA
2010,4Vs,NA,3.71,NA,NA,NA,NA,NA,NA
2011,4Vs,NA,4.08,NA,NA,NA,NA,NA,NA
2012,4Vs,NA,4.52,NA,NA,NA,NA,NA,NA
2013,4Vs,NA,4.05,NA,NA,NA,NA,NA,NA
2014,4Vs,NA,4.37,NA,NA,NA,NA,NA,NA
2015,4Vs,NA,5.22,NA,NA,NA,NA,NA,NA
2016,4Vs,NA,4.75,NA,NA,NA,NA,NA,NA
2017,4Vs,NA,4.609999999999999,NA,NA,NA,NA,NA,NA
2018,4Vs,NA,NA,NA,NA,NA,NA,NA,NA
2019,4Vs,NA,3.92,NA,NA,NA,NA,NA,NA
2020,4Vs,NA,4.66,NA,NA,NA,NA,NA,NA
1970,4W,NA,5.63,NA,NA,NA,NA,NA,NA
1971,4W,NA,6.56,NA,NA,NA,NA,NA,NA
1972,4W,NA,6.58,NA,NA,NA,NA,NA,NA
1973,4W,NA,5.9799999999999995,NA,NA,NA,NA,NA,NA
1974,4W,NA,7.2299999999999995,NA,NA,NA,NA,NA,NA
1975,4W,NA,6.34,NA,NA,NA,NA,NA,NA
1976,4W,NA,7.05,NA,NA,NA,NA,NA,NA
1977,4W,NA,7.52,NA,NA,NA,NA,NA,NA
1978,4W,NA,6.18,NA,NA,NA,NA,NA,NA
1979,4W,NA,7.2,NA,NA,NA,NA,NA,NA
1980,4W,NA,7.07,NA,NA,NA,NA,NA,NA
1981,4W,NA,6.9799999999999995,NA,NA,NA,NA,NA,NA
1982,4W,NA,5.7299999999999995,NA,NA,NA,NA,NA,NA
1983,4W,NA,6.4399999999999995,NA,NA,NA,NA,NA,NA
1984,4W,NA,7.96,NA,NA,NA,NA,NA,NA
1985,4W,NA,7.64,NA,NA,NA,NA,NA,NA
1986,4W,NA,7.37,NA,NA,NA,NA,NA,NA
1987,4W,NA,5.89,NA,NA,NA,NA,NA,NA
1988,4W,NA,5.84,NA,NA,NA,NA,NA,NA
1989,4W,NA,6.12,NA,NA,NA,NA,NA,NA
1990,4W,NA,6.05,NA,NA,NA,NA,NA,NA
1991,4W,NA,5.81,NA,NA,NA,NA,NA,NA
1992,4W,NA,6.2299999999999995,NA,NA,NA,NA,NA,NA
1993,4W,NA,6.74,NA,NA,NA,NA,NA,NA
1994,4W,NA,6.78,NA,NA,NA,NA,NA,NA
1995,4W,NA,6.65,NA,NA,NA,NA,NA,NA
1996,4W,NA,6.21,NA,NA,NA,NA,NA,NA
1997,4W,NA,6.28,NA,NA,NA,NA,NA,NA
1998,4W,NA,4.99,NA,NA,NA,NA,NA,NA
1999,4W,NA,6.75,NA,NA,NA,NA,NA,NA
2000,4W,NA,7.46,NA,NA,NA,NA,NA,NA
2001,4W,NA,5.84,NA,NA,NA,NA,NA,NA
2002,4W,NA,6.76,NA,NA,NA,NA,NA,NA
2003,4W,NA,5.8,NA,NA,NA,NA,NA,NA
2004,4W,NA,4.75,NA,NA,NA,NA,NA,NA
2005,4W,NA,6.3999999999999995,NA,NA,NA,NA,NA,NA
2006,4W,NA,7.39,NA,NA,NA,NA,NA,NA
2007,4W,NA,5.62,NA,NA,NA,NA,NA,NA
2008,4W,NA,5.38,NA,NA,NA,NA,NA,NA
2009,4W,NA,6.64,NA,NA,NA,NA,NA,NA
2010,4W,NA,6.89,NA,NA,NA,NA,NA,NA
2011,4W,NA,6.55,NA,NA,NA,NA,NA,NA
2012,4W,NA,8.09,NA,NA,NA,NA,NA,NA
2013,4W,NA,6.9399999999999995,NA,NA,NA,NA,NA,NA
2014,4W,NA,8.33,NA,NA,NA,NA,NA,NA
2015,4W,NA,7.9399999999999995,NA,NA,NA,NA,NA,NA
2016,4W,NA,8.12,NA,NA,NA,NA,NA,NA
2017,4W,NA,7.22,NA,NA,NA,NA,NA,NA
2018,4W,NA,NA,NA,NA,NA,NA,NA,NA
2019,4W,NA,7.359999999999999,NA,NA,NA,NA,NA,NA
2020,4W,NA,7.99,NA,NA,NA,NA,NA,NA
1970,4X,NA,6.32,NA,NA,NA,NA,NA,NA
1971,4X,NA,7.11,NA,NA,NA,NA,NA,NA
1972,4X,NA,6.300000000000001,NA,NA,NA,NA,NA,NA
1973,4X,NA,7.83,NA,NA,NA,NA,NA,NA
1974,4X,NA,8.07,NA,NA,NA,NA,NA,NA
1975,4X,NA,7.32,NA,NA,NA,NA,NA,NA
1976,4X,NA,8.63,NA,NA,NA,NA,NA,NA
1977,4X,NA,7.090000000000001,NA,NA,NA,NA,NA,NA
1978,4X,NA,7.15,NA,NA,NA,NA,NA,NA
1979,4X,NA,7.890000000000001,NA,NA,NA,NA,NA,NA
1980,4X,NA,7.630000000000001,NA,NA,NA,NA,NA,NA
1981,4X,NA,6.9,NA,NA,NA,NA,NA,NA
1982,4X,NA,7.470000000000001,NA,NA,NA,NA,NA,NA
1983,4X,NA,7.390000000000001,NA,NA,NA,NA,NA,NA
1984,4X,NA,7.91,NA,NA,NA,NA,NA,NA
1985,4X,NA,8.47,NA,NA,NA,NA,NA,NA
1986,4X,NA,7.7700000000000005,NA,NA,NA,NA,NA,NA
1987,4X,NA,6.3100000000000005,NA,NA,NA,NA,NA,NA
1988,4X,NA,7.12,NA,NA,NA,NA,NA,NA
1989,4X,NA,7.24,NA,NA,NA,NA,NA,NA
1990,4X,NA,7.140000000000001,NA,NA,NA,NA,NA,NA
1991,4X,NA,6.66,NA,NA,NA,NA,NA,NA
1992,4X,NA,7.44,NA,NA,NA,NA,NA,NA
1993,4X,NA,7.0600000000000005,NA,NA,NA,NA,NA,NA
1994,4X,NA,8.13,NA,NA,NA,NA,NA,NA
1995,4X,NA,6.78,NA,NA,NA,NA,NA,NA
1996,4X,NA,6.99,NA,NA,NA,NA,NA,NA
1997,4X,NA,7.420000000000001,NA,NA,NA,NA,NA,NA
1998,4X,NA,5.23,NA,NA,NA,NA,NA,NA
1999,4X,NA,7.91,NA,NA,NA,NA,NA,NA
2000,4X,NA,8.26,NA,NA,NA,NA,NA,NA
2001,4X,NA,6.37,NA,NA,NA,NA,NA,NA
2002,4X,NA,8.120000000000001,NA,NA,NA,NA,NA,NA
2003,4X,NA,7.45,NA,NA,NA,NA,NA,NA
2004,4X,NA,6.040000000000001,NA,NA,NA,NA,NA,NA
2005,4X,NA,7.2700000000000005,NA,NA,NA,NA,NA,NA
2006,4X,NA,8.14,NA,NA,NA,NA,NA,NA
2007,4X,NA,6.24,NA,NA,NA,NA,NA,NA
2008,4X,NA,6.880000000000001,NA,NA,NA,NA,NA,NA
2009,4X,NA,7.24,NA,NA,NA,NA,NA,NA
2010,4X,NA,7.57,NA,NA,NA,NA,NA,NA
2011,4X,NA,7.7,NA,NA,NA,NA,NA,NA
2012,4X,NA,9.36,NA,NA,NA,NA,NA,NA
2013,4X,NA,8.280000000000001,NA,NA,NA,NA,NA,NA
2014,4X,NA,8.91,NA,NA,NA,NA,NA,NA
2015,4X,NA,8.15,NA,NA,NA,NA,NA,NA
2016,4X,NA,9.09,NA,NA,NA,NA,NA,NA
2017,4X,NA,8.81,NA,NA,NA,NA,NA,NA
2018,4X,NA,8.64,NA,NA,NA,NA,NA,NA
2019,4X,NA,8.5,NA,NA,NA,NA,NA,NA
2020,4X,NA,8.13,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,0.02999999999999997,NA,NA,NA
1952,NA,NA,NA,NA,NA,0.32999999999999996,NA,NA,NA
1953,NA,NA,NA,NA,NA,0.18999999999999997,NA,NA,NA
1954,NA,NA,NA,NA,NA,0.3,NA,NA,NA
1955,NA,NA,NA,NA,NA,-0.35,NA,NA,NA
1956,NA,NA,NA,NA,NA,0.03999999999999998,NA,NA,NA
1957,NA,NA,NA,NA,NA,0.35,NA,NA,NA
1958,NA,NA,NA,NA,NA,-0.51,NA,NA,NA
1959,NA,NA,NA,NA,NA,0.08999999999999997,NA,NA,NA
1960,NA,NA,NA,NA,NA,-0.4600000000000001,NA,NA,NA
1961,NA,NA,NA,NA,NA,0.72,NA,NA,NA
1962,NA,NA,NA,NA,NA,-0.35,NA,NA,NA
1963,NA,NA,NA,NA,NA,-0.86,NA,NA,NA
1964,NA,NA,NA,NA,NA,-1.0299999999999998,NA,NA,NA
1965,NA,NA,NA,NA,NA,-0.48,NA,NA,NA
1966,NA,NA,NA,NA,NA,0.04999999999999999,NA,NA,NA
1967,NA,NA,NA,NA,NA,0.73,NA,NA,NA
