year,section_name,depth_m,mean_TA_umolkg,mean_DIC_umolkg,mean_pH_total,mean_pCO2_uatm,mean_substrate_inhibitor_ratio,mean_omega_aragonite,mean_omega_calcite,mean_carbonate_system_vulnerability_index
2014,Browns_Bank,0,2241.004396386789,2019.621280708645,8.103547219365534,341.0499256431251,0.2831056799640631,2.344505091265155,3.671145870486587,221.9332535793085
2014,Cabot_Strait,0,2112.25975173379,1960.512510993943,8.087495866600694,338.9532105986002,0.2602798708732261,1.69944129598353,2.707261476077354,151.2168237554792
2014,Gully,0,-999,-999,-999,-999,-999,-999,-999,-999
2014,Halifax_Line,0,2273.114559849289,2019.982164847801,8.104209968536319,344.6644661009397,0.286508269926408,2.700752637240994,4.196209583036926,248.0558836925263
2014,Louisbourg,0,2170.691061437824,1980.321155019165,8.091247189824305,344.2127800852357,0.2685442114426181,2.0514461800253,3.234368954676975,190.9350478752993
2014,Peter_Smith_Line,0,2234.919114134634,2001.750379811449,8.124446795926028,322.9619191180568,0.2951450003963181,2.527557930461815,3.950630482113966,233.2550625837188
2014,St_Anns_Bank,0,-999,-999,-999,-999,-999,-999,-999,-999
2015,Banquereau_Bank,0,2165.655721128855,1972.966336272758,8.066828340200178,370.147813423503,0.2565994821948552,2.158110018421668,3.38395529987818,195.6986370101244
2015,Browns_Bank,0,2177.448555840941,2004.739739525085,8.062574617417066,370.4672808299253,0.2546546440310942,1.876656831787236,2.961396769448426,172.78213871948591
2015,Cabot_Strait,0,2125.421747962777,1972.209705141152,8.067006342579885,359.7677939988615,0.251611231168352,1.716508933768424,2.724683879897922,152.6710067104996
2015,Halifax_Line,0,2225.780830038764,2004.450087567519,8.090808896811824,349.6538017069255,0.274949548723611,2.354584329736793,3.675232791120023,213.7943047746875
2015,Louisbourg,0,2147.432596266918,1991.712472065139,8.054693490261277,372.9193634438176,0.2474422598591363,1.715649394686358,2.717952831548647,155.7014632760713
2015,Portsmouth_Line,0,2196.140706841851,2034.99889554979,8.056507070784324,379.2185742326087,0.2535749543943013,1.791165903619593,2.835596087150083,161.3547138473562
2015,St_Anns_Bank,0,-999,-999,-999,-999,-999,-999,-999,-999
2015,St_Pierre_Bank,0,-999,-999,-999,-999,-999,-999,-999,-999
2015,Yarmouth_Line,0,2201.891740153293,2045.161211265026,8.05145329526023,383.9631375264698,0.2514296547847343,1.737132834980141,2.752487575359505,155.0702883913734
2016,Banquereau_Bank,0,2190.625138855926,1985.935795511051,8.087837345003496,353.7365512716494,0.270398616272098,2.283183139820382,3.577779865524485,208.7103962475998
2016,Browns_Bank,0,2232.371877625062,2040.788678200343,8.054862931237635,388.0208674811132,0.2567883103794334,2.073609343451636,3.25471157352698,192.0871971918645
2016,Cabot_Strait,0,2118.290256612826,1986.511916769948,8.02670802098942,397.044803142812,0.2307784533776818,1.512932361197237,2.408418393225578,131.2928879331041
2016,Gully,0,-999,-999,-999,-999,-999,-999,-999,-999
2016,Halifax_Line,0,2255.775474685969,2032.948672394336,8.031911296070836,412.670140963892,0.2465792016553586,2.317783097997162,3.599938942921563,201.5752668041945
2016,Louisbourg,0,2139.579941875644,1971.539881236145,8.048836813437854,381.4676511970542,0.2441949477338192,1.866680096894032,2.944352929731329,167.599121753331
2016,Peter_Smith_Line,0,2197.505436748264,1977.093365218737,8.103124557024776,337.9388642009977,0.2790203256596139,2.409583662677584,3.766328736584152,219.8644999536336
2016,Portsmouth_Line,0,2205.70044964395,2033.154228553437,8.072627106527449,366.3993279673962,0.2630483851077576,1.912088651194249,3.02236258122313,176.7784063542022
2016,Yarmouth_Line,0,2200.002702895634,2034.274149360079,8.063606783428916,372.4075664787337,0.2574243040022869,1.819793850174287,2.880015215467331,163.3431978065389
2017,Banquereau_Bank,0,2171.950947226602,2019.640863645014,8.09016732312811,341.104805433197,0.2683971581635359,1.692297609351753,2.695426867437836,151.5892252019985
2017,Browns_Bank,0,2192.889188486784,2024.211604057717,8.10119466991824,336.4598159029043,0.2773844979859907,1.851853184856319,2.940004236799806,168.7453370877924
2017,Cabot_Strait,0,2102.968713439286,1982.785009509677,8.055378698306962,361.8312574254753,0.2425883542677872,1.384324769606366,2.220580849912866,120.3317500000001
2017,Gully,0,-999,-999,-999,-999,-999,-999,-999,-999
2017,Halifax_Line,0,2262.805157599855,2043.777026503398,8.093568269055073,351.549890835712,0.2801009196398063,2.302040902643871,3.604505554913872,210.5367377065837
2017,Louisbourg,0,2154.799002207224,2003.928533235924,8.077836364125917,350.8239018101541,0.2598688651311531,1.669158510941233,2.658624788686694,151.4965277777779
2017,Peter_Smith_Line,0,2175.577372705006,2013.954090656243,8.092337633775804,343.8421179325563,0.2705101860177226,1.815961564838883,2.885640305805278,164.7919808043172
2017,Portsmouth_Line,0,2246.313354221594,2072.613235081437,8.126046858506015,319.7063450163659,0.2959730895747746,1.864823972491983,2.969202655496971,173.2935782604576
2017,St_Anns_Bank,0,-999,-999,-999,-999,-999,-999,-999,-999
2017,Yarmouth_Line,0,2214.148993429507,2103.127456856211,8.003859274025059,428.9740732276942,0.2291150323232132,1.364870513840698,2.179875938796835,117.2264422582417
2018,Banquereau_Bank,0,2144.568758939175,2073.971894719064,7.910316165928934,532.2373486054861,0.1831251874955861,1.054882577472509,1.686202051189729,81.11636394170378
2018,Browns_Bank,0,2216.534626969604,2026.825129131061,8.029263608483676,411.956687797835,0.2424601888014288,2.058593400474281,3.220735501011575,190.1430868061562
2018,Cabot_Strait,0,2115.748503577322,1990.40565340517,8.028075968166736,393.3346706903794,0.2311110998121363,1.448716822700222,2.308952857412117,124.9747499999999
2018,Gully,0,-999,-999,-999,-999,-999,-999,-999,-999
2018,Halifax_Line,0,2276.756536389464,2047.246018408398,8.04222598574579,406.4179247138474,0.2547320736487455,2.449809977206679,3.799171975350998,221.4287969120256
2018,Laurentian_Channel_Centre,0,-999,-999,-999,-999,-999,-999,-999,-999
2018,Laurentian_Channel_Mouth,0,2141.044206293022,1966.077371222214,8.008193874958298,431.0662792403217,0.2254357932270299,1.976296821075032,3.100672758290937,175.1657498925837
2018,Louisbourg,0,2155.279348325217,2000.247781891915,8.037332881159706,392.2000656894795,0.2397775683049497,1.717252531943928,2.715648873358952,154.8822034978172
2018,Portsmouth_Line,0,2183.693635437503,2005.248871441626,8.049415513944128,385.9469312846691,0.2491154123628418,1.964362545650556,3.088349880855632,175.5906964873116
2018,Viking_Buoy,0,-999,-999,-999,-999,-999,-999,-999,-999
2018,Yarmouth_Line,0,2175.199282567526,2010.847622732424,8.033627344001843,400.1038046323564,0.2403687630498495,1.822879060882569,2.873072905393634,161.6011675791494
2019,Browns_Bank,0,2162.905149817394,1997.76184679389,8.07992524938603,351.1243522773215,0.2622388421125532,1.813718886856876,2.872431228507827,165.1836697759698
2019,Cabot_Strait,0,2117.375238183729,1983.845313850583,8.07571513394473,346.6179131131992,0.2550821619994695,1.51402379134978,2.420394047784945,133.5793934084218
2019,Gully,0,-999,-999,-999,-999,-999,-999,-999,-999
